Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
07/22/2020,02/01/2020,07/11/2020,United States,Female,45-54 years,"1,996","30,397","2,391",870,233,"3,718",
07/22/2020,02/01/2020,07/11/2020,United States,Female,55-64 years,"5,425","72,817","6,816","2,546",523,"10,149",
07/22/2020,02/01/2020,07/11/2020,United States,Female,65-74 years,"10,308","121,133","11,981","4,699",632,"18,142",
07/22/2020,02/01/2020,07/11/2020,United States,Female,75-84 years,"15,664","170,885","16,851","6,790",727,"26,367",
07/22/2020,02/01/2020,07/11/2020,United States,Female,85 years and over,"26,082","276,088","24,012","9,520",803,"41,291",
07/22/2020,02/01/2020,07/11/2020,United States,Female,All ages,"60,570","704,494","63,544","24,886","3,178","102,043",
07/22/2020,02/01/2020,07/11/2020,United States,Unknown,All ages,5,76,5,4,1,7,
07/22/2020,02/01/2020,07/11/2020,United States Total,All,All Ages,"130,250","1,466,723","138,829","56,231","6,553","218,441",
07/22/2020,02/01/2020,07/11/2020,Alabama,Male,Under 1 year,0,83,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Male,1-4 years,0,19,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Alabama,Male,5-14 years,0,34,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Male,15-24 years,0,224,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Male,25-34 years,,384,10,,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Male,35-44 years,,553,29,,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Male,45-54 years,53,"1,016",49,15,,93,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Male,55-64 years,99,"2,342",154,28,15,240,
07/22/2020,02/01/2020,07/11/2020,Alabama,Male,65-74 years,173,"3,140",245,54,15,379,
07/22/2020,02/01/2020,07/11/2020,Alabama,Male,75-84 years,180,"3,252",275,54,,408,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Male,85 years and over,129,"2,332",191,45,,281,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Male,All ages,651,"13,379",955,205,56,"1,456",
07/22/2020,02/01/2020,07/11/2020,Alabama,Female,Under 1 year,0,54,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Alabama,Female,1-4 years,0,16,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Female,5-14 years,0,18,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Female,15-24 years,0,76,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Female,25-34 years,,175,,,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Female,35-44 years,16,324,14,,,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Female,45-54 years,33,674,39,,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Female,55-64 years,82,"1,555",141,17,,214,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Female,65-74 years,146,"2,404",166,48,12,276,
07/22/2020,02/01/2020,07/11/2020,Alabama,Female,75-84 years,154,"3,239",233,55,,337,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Female,85 years and over,179,"3,937",218,53,,346,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alabama,Female,All ages,614,"12,472",823,187,39,"1,287",
07/22/2020,02/01/2020,07/11/2020,Alabama,Unknown,All ages,0,0,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Alabama Total,All,All Ages,"1,265","25,851","1,778",392,95,"2,743",
07/22/2020,02/01/2020,07/11/2020,Alaska,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Male,15-24 years,0,36,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Alaska,Male,25-34 years,0,47,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Male,35-44 years,0,47,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Male,45-54 years,0,77,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Male,55-64 years,0,203,10,0,0,10,
07/22/2020,02/01/2020,07/11/2020,Alaska,Male,65-74 years,,243,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Male,75-84 years,,250,13,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Male,85 years and over,,147,10,0,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Male,All ages,,"1,069",42,,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Female,15-24 years,0,17,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Female,25-34 years,,31,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Female,35-44 years,0,39,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Alaska,Female,45-54 years,,51,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Female,55-64 years,,121,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Female,65-74 years,,180,12,,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Female,75-84 years,,160,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Female,85 years and over,0,195,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Female,All ages,,807,38,,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Alaska,Unknown,All ages,0,0,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Alaska Total,All,All Ages,11,"1,876",80,,,91,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Male,Under 1 year,0,105,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Male,1-4 years,,33,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Male,5-14 years,,36,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Male,15-24 years,,368,,,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Male,25-34 years,29,622,23,15,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Male,35-44 years,47,744,41,25,,65,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Male,45-54 years,109,"1,194",102,61,,154,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Male,55-64 years,219,"2,589",259,123,13,368,
07/22/2020,02/01/2020,07/11/2020,Arizona,Male,65-74 years,294,"3,971",432,176,14,564,
07/22/2020,02/01/2020,07/11/2020,Arizona,Male,75-84 years,378,"4,693",526,218,12,698,
07/22/2020,02/01/2020,07/11/2020,Arizona,Male,85 years and over,305,"3,980",381,153,10,543,
07/22/2020,02/01/2020,07/11/2020,Arizona,Male,All ages,"1,391","18,335","1,775",776,61,"2,451",
07/22/2020,02/01/2020,07/11/2020,Arizona,Female,Under 1 year,0,76,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Female,1-4 years,0,25,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Female,5-14 years,0,28,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Arizona,Female,15-24 years,,119,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Female,25-34 years,11,286,17,,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Female,35-44 years,26,348,24,14,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Female,45-54 years,49,633,61,26,,89,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Female,55-64 years,131,"1,591",170,72,10,239,
07/22/2020,02/01/2020,07/11/2020,Arizona,Female,65-74 years,221,"2,817",300,133,16,404,
07/22/2020,02/01/2020,07/11/2020,Arizona,Female,75-84 years,278,"4,014",407,156,10,539,
07/22/2020,02/01/2020,07/11/2020,Arizona,Female,85 years and over,333,"5,430",420,157,,604,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arizona,Female,All ages,"1,052","15,367","1,408",566,53,"1,947",
07/22/2020,02/01/2020,07/11/2020,Arizona,Unknown,All ages,0,0,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Arizona Total,All,All Ages,"2,443","33,702","3,183","1,342",114,"4,398",
07/22/2020,02/01/2020,07/11/2020,Arkansas,Male,Under 1 year,0,67,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Male,1-4 years,0,16,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Male,5-14 years,0,18,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Arkansas,Male,15-24 years,,134,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Male,25-34 years,,230,,0,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Male,35-44 years,,314,18,,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Male,45-54 years,17,561,29,,,40,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Male,55-64 years,40,"1,391",102,18,12,136,
07/22/2020,02/01/2020,07/11/2020,Arkansas,Male,65-74 years,41,"1,984",135,28,11,159,
07/22/2020,02/01/2020,07/11/2020,Arkansas,Male,75-84 years,54,"2,012",161,23,,199,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Male,85 years and over,31,"1,420",124,13,,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Male,All ages,192,"8,147",582,93,41,722,
07/22/2020,02/01/2020,07/11/2020,Arkansas,Female,Under 1 year,,37,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Female,1-4 years,0,11,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Female,5-14 years,0,11,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Arkansas,Female,15-24 years,,48,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Female,25-34 years,,118,,,0,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Female,35-44 years,,206,10,,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Female,45-54 years,,403,31,,,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Female,55-64 years,17,859,72,10,,85,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Female,65-74 years,17,"1,420",96,,10,115,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Female,75-84 years,40,"1,846",119,13,,151,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Female,85 years and over,75,"2,399",147,16,,214,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Arkansas,Female,All ages,170,"7,358",487,56,35,636,
07/22/2020,02/01/2020,07/11/2020,Arkansas,Unknown,All ages,0,0,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Arkansas Total,All,All Ages,362,"15,505","1,069",149,76,"1,358",
07/22/2020,02/01/2020,07/11/2020,California,Male,Under 1 year,0,447,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,California,Male,1-4 years,0,86,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,California,Male,5-14 years,0,128,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,California,Male,15-24 years,,"1,178",25,,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,California,Male,25-34 years,49,"2,232",73,27,,104,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,California,Male,35-44 years,141,"2,835",183,76,10,258,
07/22/2020,02/01/2020,07/11/2020,California,Male,45-54 years,340,"4,897",423,183,33,613,
07/22/2020,02/01/2020,07/11/2020,California,Male,55-64 years,675,"10,774",990,381,71,"1,355",
07/22/2020,02/01/2020,07/11/2020,California,Male,65-74 years,974,"14,997","1,630",561,63,"2,105",
07/22/2020,02/01/2020,07/11/2020,California,Male,75-84 years,986,"16,670","1,931",597,57,"2,377",
07/22/2020,02/01/2020,07/11/2020,California,Male,85 years and over,894,"18,153","1,892",477,52,"2,361",
07/22/2020,02/01/2020,07/11/2020,California,Male,All ages,"4,066","72,397","7,158","2,304",304,"9,223",
07/22/2020,02/01/2020,07/11/2020,California,Female,Under 1 year,0,327,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,California,Female,1-4 years,0,57,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,California,Female,5-14 years,0,98,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,California,Female,15-24 years,,374,15,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,California,Female,25-34 years,15,805,38,,10,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,California,Female,35-44 years,54,"1,328",94,30,10,128,
07/22/2020,02/01/2020,07/11/2020,California,Female,45-54 years,129,"2,758",229,71,22,309,
07/22/2020,02/01/2020,07/11/2020,California,Female,55-64 years,269,"6,288",547,153,46,709,
07/22/2020,02/01/2020,07/11/2020,California,Female,65-74 years,493,"10,314",981,281,48,"1,241",
07/22/2020,02/01/2020,07/11/2020,California,Female,75-84 years,764,"14,971","1,460",424,69,"1,869",
07/22/2020,02/01/2020,07/11/2020,California,Female,85 years and over,"1,306","26,604","2,321",650,63,"3,040",
07/22/2020,02/01/2020,07/11/2020,California,Female,All ages,"3,034","63,924","5,694","1,617",273,"7,384",
07/22/2020,02/01/2020,07/11/2020,California,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,California Total,All,All Ages,"7,100","136,322","12,852","3,921",577,"16,607",
07/22/2020,02/01/2020,07/11/2020,Colorado,Male,Under 1 year,0,85,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Male,1-4 years,0,13,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Male,5-14 years,0,32,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Colorado,Male,15-24 years,,233,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Male,25-34 years,,455,10,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Male,35-44 years,15,535,25,,,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Male,45-54 years,56,811,56,30,,88,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Male,55-64 years,115,"1,657",146,56,10,215,
07/22/2020,02/01/2020,07/11/2020,Colorado,Male,65-74 years,198,"2,371",266,117,10,357,
07/22/2020,02/01/2020,07/11/2020,Colorado,Male,75-84 years,259,"2,554",302,151,,414,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Male,85 years and over,266,"2,482",254,127,10,401,
07/22/2020,02/01/2020,07/11/2020,Colorado,Male,All ages,919,"11,228","1,063",494,47,"1,533",
07/22/2020,02/01/2020,07/11/2020,Colorado,Female,Under 1 year,0,78,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Female,5-14 years,0,16,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Female,15-24 years,,79,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Female,25-34 years,,162,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Female,35-44 years,,234,11,,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Female,45-54 years,16,450,28,,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Female,55-64 years,41,968,78,26,11,104,
07/22/2020,02/01/2020,07/11/2020,Colorado,Female,65-74 years,115,"1,621",135,56,,201,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Female,75-84 years,200,"2,237",227,94,,338,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado,Female,85 years and over,342,"3,837",337,167,13,525,
07/22/2020,02/01/2020,07/11/2020,Colorado,Female,All ages,724,"9,687",825,352,48,"1,242",
07/22/2020,02/01/2020,07/11/2020,Colorado,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Colorado Total,All,All Ages,"1,643","20,916","1,888",846,95,"2,775",
07/22/2020,02/01/2020,07/11/2020,Connecticut,Male,Under 1 year,0,28,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Connecticut,Male,1-4 years,0,,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Connecticut,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Connecticut,Male,15-24 years,,68,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
